car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12815,8058,Peugeot,Peugeot 5008,1.2 PureTech EAT8 Active Premium 7-Seater (A),171888,15700,68755,1484,86000,508,26846,29584,10.201,Petrol,True
12815,8059,Peugeot,Peugeot 5008,1.2 PureTech EAT8 Allure Premium 7-Seater (A),182888,16500,73155,1579,86000,508,30846,35184,10.201,Petrol,True
12816,7979,Honda,Honda Jazz Hybrid,1.5 ECVT Luxe e-HEV (A),64999,-,-,-,86000,684,23490,9886,,Petrol-Electric,False
12817,8053,BYD,BYD e6 Electric,71.7 kWh (A),157888,-,63155,1363,86000,1326,24000,0,-,Electric,True
12817,8742,BYD,BYD e6 Electric,ADVANCE Edition 71.7 kWh (A),161888,-,64755,1398,86000,1326,-,-,-,Electric,True
12818,8074,Renault,Renault Captur,1.3T TCe (A),58999,-,-,-,86000,586,18990,18990,9.6010,Petrol,False
12818,8073,Renault,Renault Captur,1.3T TCe Privilege (A),66999,-,-,-,86000,586,20057,20080,9.6010,Petrol,False
12827,8991,Audi,Audi Q5 Mild Hybrid,2.0 TFSI qu S tronic [204hp] (A),300901,27900,120360,2598,105459,1194,37200,44080,7.3010,Petrol-Electric,True
12827,8291,Audi,Audi Q5 Mild Hybrid,2.0 TFSI qu S tronic [249hp] (A),323268,29900,129307,2791,105459,1194,40599,48839,6.3010,Petrol-Electric,True
12831,8045,BMW M Series,BMW M Series M4 Coupe,3.0 Competition (A),540888,45800,216355,4669,105459,2376,102823,166211,3.9010,Petrol,True
12832,8047,BMW M Series,BMW M Series M3 Sedan,3.0 Competition (A),535888,45500,214355,4626,105459,2376,101135,162497,3.9010,Petrol,True
12835,8543,BMW,BMW iX3 Electric,M Sport Impressive 80 kWh (A),320888,30400,128355,2770,105459,2147,58967,33141,-,Electric,True
12836,8554,BMW,BMW iX Electric,xDrive40 76.6 kWh (A),454888,39700,181955,3927,105459,4888,96008,116218,-,Electric,True
12836,8555,BMW,BMW iX Electric,xDrive40 Sport 76.6 kWh (A),463888,40400,185555,4005,105459,4888,97607,119735,-,Electric,True
12839,8032,Mercedes-Benz,Mercedes-Benz E-Class Cabriolet,E200 (A),433888,-,173555,3746,105459,1202,-,-,7.8010,Petrol,True
12840,8033,Mercedes-Benz,Mercedes-Benz E-Class Coupe,E200 (A),416888,-,166755,3599,105459,1202,-,-,7.5010,Petrol,True
